Year,Month,outflow,t,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,C1t,C2t,C3t,C4t,C1tm1,C2tm1,C3tm1,C4tm1
2007,11,6571.5173,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2007,12,21729.3265,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2008,1,2905.46598,61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,2,5220.743,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,5705.53865,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,4,7285.91745,64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,5,8261.4913,65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,6,10855.81095,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,6561.246927,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,8,6358.81365,68,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2008,9,29106.03635,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2008,10,1934.27665,70,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
2008,11,6243.76066,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,12,23311.73145,72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,1,2133.72715,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,2,2865.07485,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,3,6599.12819,75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,4,8520.7188,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,5,5310.18217,77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,6,10666.0391,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,6263.6065,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,8,5377.07655,80,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2009,9,20575.12989,81,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
2009,10,3037.3944,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2009,11,10339.84035,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2009,12,15378.04045,84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010,1,2858.4568,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,2,4228.13385,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,3,4252.48945,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,4,8015.0781,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,5,8667.05945,89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,6,8154.712845,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,9037.9787,91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,8,12241.84913,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2010,9,14674.7578,93,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2010,10,5528.4787,94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2010,11,8667.38393,95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2010,12,16473.32275,96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2011,1,2812.14355,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,2,4767.20345,98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,3,8063.6543,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,4,11422.7987,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,5,10731.3427,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,6,12469.6415,102,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,12960.75908,103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2011,8,34679.66445,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2011,9,4143.87285,105,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2011,10,10587.2532,106,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,11,10496.41121,107,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2011,12,21153.9869,108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2012,1,4723.04821,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,2,7466.244706,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,3,13422.49883,111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,4,10336.64222,112,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,5,10689.5159,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,6,14325.894,114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,11952.50585,115,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2012,8,24207.1965,116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2012,9,5834.4831,117,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2012,10,12080.7574,118,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012,11,11704.4771,119,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2012,12,25716.26645,120,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2013,1,5383.97605,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2,10879.3505,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,3,15782.68845,123,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,4,9786.38495,124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,5,16180.4183,125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,6,14426.6001,126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,30651.8387,127,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2013,8,20664.68805,128,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2013,9,10206.3805,129,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2013,10,14678.8446,130,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2013,11,14587.9397,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2013,12,25763.85605,132,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014,1,8072.3021,133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,2,9305.44695,134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,3,14229.0303,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,4,11990.1222,136,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,5,15736.8045,137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,6,12917.4025,138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2014,7,37374.09435,139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2014,8,5461.02605,140,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014,9,12159.6751,141,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2014,10,15854.3824,142,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2014,11,12980.04255,143,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014,12,24023.26075,144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,1,6901.09125,145,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,2,10802.6795,146,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,3,13562.13175,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,4,19701.5106,148,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,5,14289.66165,149,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,6,18196.14485,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015,7,40122.5725,151,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,8,9938.29885,152,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,9,14003.2473,153,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,10,15210.2874,154,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2015,11,14840.34065,155,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015,12,29327.2462,156,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016,1,7867.4592,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2,12009.42475,158,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,14730.7805,159,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,17191.3307,160,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,20303.89415,161,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,40925.47465,162,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2016,7,14133.48385,163,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,8,12125.20845,164,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2016,9,17409.5272,165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2016,10,12559.0309,166,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,11,16104.6692,167,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2016,12,24550.12445,168,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
