Y
0.2083
0.192
0.1759
0.1589
0.141
0.123
0.1052
0.0861
0.0661
0.0455
0.0247
0.0041
-0.0152
-0.0326
-0.0482
-0.0623
-0.0759
-0.0902
-0.1067
-0.1245
-0.1438
-0.1634
-0.1816
-0.1981
-0.2141
-0.2303
-0.2472
-0.2658
-0.2856
-0.3056
-0.3244
-0.3421
-0.3582
-0.3715
-0.3834
-0.3951
-0.407
-0.4193
-0.4343
-0.45
-0.4652
-0.4791
-0.4917
-0.5011
-0.5083
-0.514
-0.5182
-0.5201
-0.5202
-0.519
-0.5162
-0.5116
-0.5056
-0.4989
-0.4904
-0.4803
-0.4691
-0.4575
-0.4445
-0.4301
-0.4148
-0.3984
-0.38
-0.3594
-0.3375
-0.3137
-0.2887
-0.2629
-0.2372
-0.2106
-0.1846
-0.158
-0.1309
-0.1033
-0.0769
-0.0497
-0.0222
0.0058
0.0348
0.0651
0.0956
0.1262
0.1563
0.1856
0.2144
0.2427
0.2704
0.2976
0.3245
0.3517
0.3784
0.4044
0.4309
0.4565
0.4808
0.5049
0.5289
0.5509
0.5717
0.5913
0.6086
0.6241
0.6384
0.6509
0.6613
0.6704
0.6767
0.6811
0.6838
0.685
0.6849
0.6834
0.6813
0.6781
0.674
0.6679
0.6612
0.6529
0.643
0.6316
0.6186
0.6034
0.5866
0.5681
0.548
0.5273
0.5057
0.4824
0.4577
0.4321
0.405
0.3766
0.3483
0.3206
0.2928
0.265
0.238
0.2104
0.1817
0.1524
0.1232
0.0936
0.0639
0.0338
0.0029
-0.0285
-0.0606
-0.0924
-0.1238
-0.1542
-0.1848
-0.215
-0.2446
-0.2728
-0.3003
-0.3261
-0.3504
-0.3736
-0.396
-0.4165
-0.4353
-0.4519
-0.4675
-0.4819
-0.4955
-0.5086
-0.5217
-0.5337
-0.5439
-0.5532
-0.5611
-0.5671
-0.572
-0.5763
-0.5793
-0.5814
-0.583
-0.5835
-0.5825
-0.5807
-0.5781
-0.5744
-0.5694
-0.5627
-0.5533
-0.5413
-0.5263
-0.5082
-0.4892
-0.4698
-0.4495
-0.4296
-0.41
-0.3902
-0.369
-0.3472
-0.3242
